trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon
228,003160,디아이,2026-01-08 12:51:29,29300.0,2026-01-08 13:11:39,28750.0,0,,-550.0,-1.88,"🚨 Early Failure Cut (20.2분, -1.88%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
229,232680,라온테크,2026-01-08 10:35:19,15240.0,2026-01-08 13:43:58,15180.0,0,,-240.0,-0.39,다중 약화 신호 (VWAP↓+EMA3↓),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
230,489500,엘케이켐,2026-01-08 12:57:33,33350.0,2026-01-08 14:05:07,33300.0,0,,-50.0,-0.15,다중 약화 신호 (VWAP↓+EMA3↓),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
232,452160,제이엔비,2026-01-08 15:15:33,7450.0,2026-01-08 15:16:34,7410.0,0,,-520.0,-0.54,"시간 기반 청산 (15:00, -0.54%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
237,489500,엘케이켐,2026-01-09 10:41:37,33400.0,2026-01-09 11:03:49,32750.0,0,,-1300.0,-1.95,"🚨 Early Failure Cut (22.2분, -1.95%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
239,080220,제주반도체,2026-01-09 10:28:39,30650.0,2026-01-09 11:42:10,31100.0,0,,900.0,1.47,Squeeze: dark_red 모멘텀 반전 (+1.47%),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
242,396470,워트,2026-01-09 10:30:36,7100.0,2026-01-09 13:08:53,7100.0,0,,0.0,,ATR 트레일링 스탑 (+0.00%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
244,053700,삼보모터스,2026-01-09 13:24:59,6930.0,2026-01-09 13:48:11,6810.0,0,,-1680.0,-1.73,"🚨 Early Failure Cut (23.2분, -1.73%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
245,452160,제이엔비,2026-01-09 11:57:18,7400.0,2026-01-09 13:54:16,7250.0,0,,-1950.0,-2.03,"Hard Stop (-2.0%, -2.03%) [부분청산 0차]",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
246,489500,엘케이켐,2026-01-09 11:44:13,32750.0,2026-01-09 14:03:24,32050.0,0,,-1400.0,-2.14,"Hard Stop (-2.0%, -2.14%) [부분청산 0차]",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
249,023810,인팩,2026-01-12 15:09:07,11610.0,2026-01-13 09:50:34,11850.0,1,,250.0,2.16,"데드크로스 청산: 데드크로스 (MA5: 11946, MA10: 11985)",MA5_EXIT,(대응 없음),이동평균 이탈 — 백테스트에 대응 규칙 없음,INTRADAY
252,437730,삼현,2026-01-13 10:58:18,64900.0,2026-01-13 11:20:56,64000.0,0,,-900.0,-1.39,"데드크로스 청산: 데드크로스 (MA5: 64160, MA10: 64220)",MA5_EXIT,(대응 없음),이동평균 이탈 — 백테스트에 대응 규칙 없음,INTRADAY
254,389500,에스비비테크,2026-01-13 11:23:59,53800.0,2026-01-13 11:29:13,54900.0,0,,1100.0,2.04,Squeeze: bright_red 모멘텀 반전 (+2.04%),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
255,318060,그래피,2026-01-13 11:06:35,33400.0,2026-01-13 11:35:39,33150.0,0,,-250.0,-0.75,"데드크로스 청산: 데드크로스 (MA5: 33150, MA10: 33155)",MA5_EXIT,(대응 없음),이동평균 이탈 — 백테스트에 대응 규칙 없음,INTRADAY
257,396470,워트,2026-01-13 11:52:11,7130.0,2026-01-13 13:49:28,7080.0,0,,-400.0,-0.7,"데드크로스 청산: 데드크로스 (MA5: 7112, MA10: 7113)",MA5_EXIT,(대응 없음),이동평균 이탈 — 백테스트에 대응 규칙 없음,INTRADAY
259,124500,아이티센글로벌,2026-01-13 14:32:45,37350.0,2026-01-13 15:01:16,36950.0,0,,-400.0,-1.07,"시간 기반 청산 (15:00, -1.07%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
263,082920,비츠로셀,2026-01-14 10:01:04,21100.0,2026-01-14 10:07:33,21050.0,0,,-150.0,-0.24,"5분봉 데드크로스 청산: 데드크로스 (MA5: 21090, MA10: 21095)",MA5_EXIT,(대응 없음),이동평균 이탈 — 백테스트에 대응 규칙 없음,INTRADAY
264,019180,티에이치엔,2026-01-14 10:00:04,9530.0,2026-01-14 10:19:11,9360.0,0,,-1190.0,-1.78,"🚨 Early Failure Cut (19.1분, -1.78%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
271,419080,엔젯,2026-01-15 12:07:22,10060.0,2026-01-15 12:09:40,9860.0,0,,-1800.0,-1.99,"🚨 Early Failure Cut (2.3분, -1.99%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
272,190510,나무가,2026-01-15 12:05:13,26850.0,2026-01-15 14:05:45,27250.0,0,,1200.0,1.49,Squeeze: bright_red 모멘텀 반전 (+1.49%),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
275,023810,인팩,2026-01-15 14:07:42,12470.0,2026-01-15 14:47:26,12560.0,0,,720.0,0.72,Squeeze: dark_red 모멘텀 반전 (+0.72%),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
